Report_Date,Route,Time,Day,Location,Incident,Min_Delay,Min_Gap,Direction,Vehicle,Round_Time
2014-01-02,505,06:31:00,Thursday,Dundas and Roncesvalles,Late Leaving Garage,4.0,8.0,E/B,4018.0,06:30:00
2014-01-02,504,12:43:00,Thursday,King and Shaw,Utilized Off Route,20.0,22.0,E/B,4128.0,12:30:00
2014-01-02,501,14:01:00,Thursday,Kingston road and Bingham,Held By,13.0,19.0,W/B,4016.0,14:00:00
2014-01-02,504,14:22:00,Thursday,King St. and Roncesvalles Ave.,Investigation,7.0,11.0,W/B,4175.0,14:30:00
2014-01-02,504,16:42:00,Thursday,King and Bathurst,Utilized Off Route,3.0,6.0,E/B,4080.0,16:30:00
2014-01-02,501,17:39:00,Thursday,Queen and Beaconsfeild,Held By,7.0,13.0,W/B,4202.0,17:30:00
2014-01-02,504,18:38:00,Thursday,Roncesvalles and King Street West,Utilized Off Route,4.0,7.0,E/B,4100.0,18:30:00
2014-01-02,510,19:27:00,Thursday,Spadina and St. Andrews,Investigation,20.0,22.0,S/B,4123.0,19:30:00
2014-01-03,504,01:00:00,Friday,Broadview and Queen,Utilized Off Route,7.0,14.0,W/B,4079.0,01:00:00
2014-01-03,512,05:09:00,Friday,Bathurst and St. Clair,Mechanical,3.0,6.0,E/B,4160.0,05:00:00
2014-01-03,501,05:19:00,Friday,Queen and Roncesvalles,Mechanical,5.0,11.0,W/B,4037.0,05:30:00
2014-01-03,511,05:22:00,Friday,King at Bathurst,Mechanical,5.0,11.0,S/B,4168.0,05:30:00
2014-01-03,501,05:25:00,Friday,Queen and Roncesvalles,Mechanical,5.0,11.0,W/B,4036.0,05:30:00
2014-01-03,501,05:29:00,Friday,Roncesvalles and Queen,Mechanical,4.0,11.0,W/B,,05:30:00
2014-01-03,512,05:33:00,Friday,Bathurst at St. Clair,Mechanical,3.0,6.0,E/B,4082.0,05:30:00
2014-01-03,512,05:39:00,Friday,Bathurst at St Clair,Mechanical,3.0,6.0,E/B,4127.0,05:30:00
2014-01-03,501,05:40:00,Friday,Roncesvalles and Queen,Mechanical,1.0,7.0,W/B,,05:30:00
2014-01-03,506,05:47:00,Friday,Roncevalles and Howard Park,Mechanical,5.0,11.0,E/B,,06:00:00
2014-01-03,512,05:47:00,Friday,Bathurst and St Clair,Mechanical,3.0,6.0,E/B,4166.0,06:00:00
2014-01-03,506,05:48:00,Friday,Roncesvalles and Howard Park,Mechanical,5.0,11.0,E/B,,06:00:00
2014-01-03,511,05:54:00,Friday,King and Bathurst,Mechanical,6.0,11.0,N/B,,06:00:00
2014-01-03,511,05:59:00,Friday,King at Bathurst,Mechanical,5.0,11.0,N/B,,06:00:00
2014-01-03,512,06:03:00,Friday,Bathurst and St. Clair,Mechanical,3.0,5.0,E/B,,06:00:00
2014-01-03,511,06:06:00,Friday,King at Bathurst,Mechanical,5.0,11.0,N/B,4152.0,06:00:00
2014-01-03,511,06:13:00,Friday,King at Bathurst,Mechanical,5.0,11.0,N/B,4000.0,06:00:00
2014-01-03,511,06:15:00,Friday,King at Bathurst,Mechanical,5.0,11.0,N/B,4040.0,06:30:00
